source_id,title,url,publisher,source_type,authority_level,relevant_sections,design_decisions,implementation_tasks,test_requirements,fallback_behavior,review_status
O01,OpenWrt Technical Reference,https://openwrt.org/docs/techref/start,OpenWrt,technical reference,official,"Architecture overview; package system; UCI; procd; init","Treat OpenWrt as the primary deployment target; use UCI for configuration and procd for lifecycle","Map all configuration to UCI; register service with procd","Test on OpenWrt target or QEMU emulation","Degrade gracefully when OpenWrt-specific features are absent","verified"
O02,OpenWrt UCI Documentation,https://openwrt.org/docs/guide-developer/uci,OpenWrt,technical reference,official,"UCI configuration model; option types; list types; commit semantics","Use UCI as the sole configuration source; never write raw config files","Parse UCI via libuci or uci CLI; validate every option on read","Test missing sections, invalid option types, and commit/revert behavior","Preserve last valid configuration on parse failure","verified"
O03,OpenWrt procd Documentation,https://openwrt.org/docs/guide-developer/procd-init,OpenWrt,technical reference,official,"procd service model; start/stop/reload; triggers; instance management","Register diagnostic service as a procd init script with explicit instance and respawn policy","Write init.d script using procd_open_instance/procd_set_param/procd_close_instance pattern","Test start, stop, reload, crash-triggered restart, and config-change trigger","Start in degraded mode if primary dependency is absent","verified"
O04,OpenWrt Package Development,https://openwrt.org/docs/guide-developer/packages,OpenWrt,developer guide,official,"Package Makefile structure; PKG_SOURCE; PKG_HASH; dependencies; Build/Compile; Build/Install; Package/Install","Pin source by hash; declare runtime dependencies explicitly; strip binaries","Write complete Makefile with hash-verified source, explicit dependencies, and install rules","Test package builds for all supported architectures; verify installed file layout","Do not silently omit optional features; mark them as unavailable","verified"
O05,OpenWrt SQM-Scripts,https://github.com/tohojo/sqm-scripts,tohojo,upstream source,official upstream source,"sqm-scripts integration with CAKE; queue disciplines; configuration interface","Treat sqm-scripts as an optional dependency; do not assume it controls CAKE","Detect sqm-scripts presence; use Netlink-first CAKE inspection regardless","Test CAKE detection with and without sqm-scripts","Report qdisc kind and CAKE parameters directly from Netlink","verified"
O06,OpenWrt ubus Documentation,https://openwrt.org/docs/techref/ubus,OpenWrt,technical reference,official,"ubus object/method model; bus routing; session handling; subscriptions","Do not depend on ubus for initial v1.0; design for optional ubus exposure later","Define ubus object registration pattern for optional later use","Test ubus method invocation and error responses","Operate without ubus if bus is unavailable","verified"
O07,OpenWrt Buildroot Introduction,https://openwrt.org/docs/guide-developer/toolchain/use-buildsystem,OpenWrt,developer guide,official,"SDK; toolchain; cross-compilation; feeds; package selection","Build with OpenWrt SDK; cross-compile for target architectures","Define SDK-compatible Makefile and feed integration","Run CI cross-build for at least one MIPS and one ARM target","Warn on unsupported architectures; do not produce a broken binary","verified"
O08,iproute2 traffic-control documentation,https://man7.org/linux/man-pages/man8/tc.8.html,Linux man-pages,man page,official,"tc qdisc; tc class; tc filter; CAKE; JSON output","Use tc JSON output only as a fallback when Netlink is unavailable; parse with strict schema","Implement tc-JSON fallback with bounded output size and version-aware schema","Test tc-JSON parsing for known and unknown qdisc kinds","Return malformed status on unexpected tc output format","verified"
O09,CAKE qdisc documentation,https://man7.org/linux/man-pages/man8/tc-cake.8.html,Linux man-pages,man page,official,"CAKE parameters; rate; diffserv; overhead; flow isolation; statistics","Read CAKE parameters and statistics through Netlink-first path; use tc-CAKE man page as attribute reference","Map CAKE Netlink attributes to documented parameter names","Test each CAKE optional attribute with absent and present states","Return null for absent optional CAKE attributes","verified"
O10,Bufferbloat.net CAKE description,https://www.bufferbloat.net/projects/codel/wiki/Cake/,Bufferbloat.net,project wiki,community authority,"CAKE design goals; diffserv tiers; flow fairness; AQM; measurement methodology","Validate CAKE measurements against documented design behavior","Use CAKE design goals to define valid measurement ranges","Test CAKE measurement under loaded and idle conditions","Report measurement validity, not just raw values","verified"
